Source,Merged
Alphabet,"Ref2_1 - The pandemic continues to test the resilience of our communities and change the ways we work, learn, and  online, greater amounts of information are being created than ever before; it’s an exciting challenge for a company whose mission is to organize the world’s information and make it universally accessible"
Alphabet,"Ref26_1 - To promote equity and inclusion beyond Google, we made commitments to broaden access to  funding to Historically Black Colleges and  invest in their communities, and we expanded the Grow with Google Career Readiness Program   Black Founders Fund and Latino Founders Fund helped high-potential founders grow their businesses, and we’re already seeing promising    Recognizing that COVID-19 was quickly widening"
Alphabet,Ref3_1 - 4 Helping the world respond to the pandemic
Alphabet,Ref5_1 - COVID-19 Memorial
Alphabet,"Ref54_1 - The continuing effects of COVID-19 are highly unpredictable and could be significant, and may have an adverse effect on our business, operations and our future financial performance."
Alphabet,"Ref6_1 - As the pandemic entered a new chapter, we knew  was to keep people informed with authoritative information and connect them with resources for  surge, and as varying terminology and vaccine names proliferated, connecting people with the   AI milestone, we were able to identify over 800 variations of vaccine names in more than 50   timely, high-quality information about COVID-19  relevant vaccine information, we expanded our COVID-19 information panels on Search to more"
Alphabet,"Ref6_2 - to authoritative information, we conducted nearly 10,000 fact checks of sources appearing in Search and Google News, and we invested in organizations working to stop the spread of misinformation through Google News Initiative’s COVID-19 Vaccine Counter-"
Alphabet,Ref6_3 - fact checks about the pandemic across
Alphabet,"Ref63_1 -   general economic conditions, including the effect of COVID-19;"
Alphabet,Ref65_1 -    Cloud. The adverse effect of COVID-19 on 2020 advertising revenues also contributed to the year-over-year growth.
Alphabet,Ref65_2 - The Effect of COVID-19 on our Financial Results
Alphabet,"Ref65_3 -  our advertising revenues declined compared to the prior year. This was due to a shift of user search activity to less commercial topics and reduced spending by our advertisers. For the quarter ended June 30, 2020 our advertising revenues declined due to the continued effects of COVID-19 and the related reductions in global economic activity, but we observed a gradual return in user search activity to more commercial topics. This was followed by increased spending by our advertisers, which continued throughout the"
Alphabet,"Ref66_1 - Google Search & other revenues increased $44.9 billion from 2020 to 2021. The overall growth was driven by interrelated factors including increases in search queries resulting from growth in user adoption and usage, primarily on mobile devices, growth in advertiser spending, and improvements we have made in ad formats and delivery. The adverse effect of COVID-19 on 2020 revenues also contributed to the year-over-year increase."
Alphabet,Ref66_2 - YouTube ads revenues increased $9.1 billion from 2020 to 2021. Growth was driven by our direct response and brand advertising products. Growth for our direct response advertising products was primarily driven by increased advertiser spending as well as improvements to ad formats and delivery. Growth for our brand advertising products was primarily driven by increased spending by our advertisers and the adverse effect of COVID-19 on 2020 revenues.
Alphabet,"Ref66_3 -  Ad Manager, and AdSense. The adverse effect of COVID-19 on 2020 revenues also contributed to the year-over-year increase."
Alphabet,"Ref67_1 - Paid clicks increased from 2020 to 2021 driven by a number of interrelated factors, including an increase in search queries resulting from growth in user adoption and usage, primarily on mobile devices; an increase in clicks relating to ads on Google Play; growth in advertiser spending; and improvements we have made in ad formats and delivery. The adverse effect of COVID-19 on 2020 paid clicks also contributed to the increase."
Alphabet,"Ref67_2 - The increase in cost-per-click from 2020 to 2021 was driven by a number of interrelated factors including changes in device mix, geographic mix, growth in advertiser spending, ongoing product changes, and property mix, as well as the adverse effect of COVID-19 in 2020."
Alphabet,"Ref67_3 - Impressions increased from 2020 to 2021 primarily driven by growth in AdMob, partially offset by a decline in impressions related to AdSense. The increase in cost-per-impression was primarily driven by the adverse effect of COVID-19 in 2020 as well as the effect of interrelated factors including ongoing product and policy changes and improvements we have made in ad formats and delivery, changes in device mix, geographic mix, product mix, and property mix."
Alphabet,"Ref69_1 - Sales and marketing expenses increased $5.0 billion from 2020 to 2021, primarily driven by an increase in advertising and promotional activities of $2.5 billion and an increase in compensation expenses of $2.2 billion. The increase in advertising and promotional activities was driven by both increased spending in the current period and a reduction in spending in 2020 due to COVID-19. The increase in compensation expenses was largely due to a 14% increase in headcount."
Alphabet,"Ref70_1 -   increase in headcount. These increases were partially offset by a reduction in expense of $808 million related to a decline in allowance for credit losses for accounts receivable, as 2020 reflected a higher allowance related to the economic effect of COVID-19."
Alphabet,"Ref70_2 -  offset by increases in TAC, content acquisition costs, compensation expenses, advertising and promotional expenses, and charges related to certain legal matters. The increase in expenses was partially offset by a reduction in costs driven by the change in the estimated useful life of our servers and certain network equipment. The effect of COVID-19 on 2020 results affected the year-over- year increase in operating income."
Amazon,"Ref1_1 - When the pandemic started in early 2020, few people thought it would be as expansive or long-running as it’s been. Whatever role Amazon played in the world up to that point became further magnified as most physical venues shut down for long periods of time and people spent their days at home. This meant that hundreds of millions of people relied on Amazon for PPE, food, clothing, and various other items that helped them navigate this unprecedented time. Businesses and governments also had to shift, practically overnight, from working with colleagues and technology on-premises to working remotely. AWS played a major role in enabling this business continuity. Whether companies saw extraordinary demand spikes, or demand diminish quickly with reduced external consumption, the cloud’s elasticity to scale capacity up and down quickly, as well as AWS’s unusually broad functionality helped millions of companies adjust to these difficult circumstances."
Amazon,"Ref1_2 - Our AWS and Consumer businesses have had different demand trajectories during the pandemic. In the first year of the pandemic, AWS revenue continued to grow at a rapid clip—30% year over year (“YoY”) in 2020 on a $35 billion annual revenue base in 2019—but slower than the 37% YoY growth in 2019. This was due in part to the uncertainty and slowing demand that so many businesses encountered, but also in part to our helping companies optimize their AWS footprint to save money. Concurrently, companies were stepping back and determining what they wanted to change coming out of the pandemic. Many concluded that they didn’t want to continue managing their technology infrastructure themselves, and made the decision to accelerate their move to the cloud. This shift by so many companies (along with the economy recovering) helped re-accelerate AWS’s revenue growth to 37% YoY in 2021."
Amazon,"Ref1_3 - As the world opened up again starting in late Q2 2021, and more people ventured out to eat, shop, and travel, consumer spending returned to being spread over many more entities. We weren’t sure what to expect in 2021, but the fact that we continued to grow at double digit rates (with a two-year Consumer compounded annual growth rate of 29%) was encouraging as customers appreciated the role Amazon played for them during the pandemic, and started using Amazon for a larger amount of their household purchases."
Amazon,"Ref1_4 - This growth also created short-term logistics and cost challenges. We spent Amazon’s first 25 years building a very large fulfillment network, and then had to double it in the last 24 months to meet customer demand. As we were bringing this new capacity online, the labor market tightened considerably, making it challenging both to receive all of the inventory our vendors and sellers wanted to send us and to place that inventory as close to customers as we typically do. Combined with ocean, air, and trucking capacity becoming scarcer and more expensive, this created extra transportation and productivity costs. Supply chains were disrupted in ways none of us had seen previously. We hoped that the major impact from COVID-19 would recede as 2021 drew to a close, but then omicron reared its head in December, which had worldwide ramifications, including impacting people’s ability to work. And then in late February, with Russia’s invasion of Ukraine, fuel costs and inflation became bigger issues with which to contend."
Amazon,"Ref15_1 - Please carefully consider the following discussion of significant factors, events, and uncertainties that make an investment in our securities risky. The events and consequences discussed in these risk factors could, in circumstances we may or may not be able to accurately predict, recognize, or control, have a material adverse effect on our business, growth, reputation, prospects, financial condition, operating results (including components of our financial results), cash flows, liquidity, and stock price. These risk factors do not identify all risks that we face; our operations could also be affected by factors, events, or uncertainties that are not presently known to us or that we currently do not consider to present significant risks to our operations. In addition to the effects of the COVID-19 pandemic and resulting global disruptions on our business and operations discussed in Item 7 of Part II, “Management’s Discussion and Analysis of Financial Condition and Results of Operations,” and in the risk factors below, the global economic climate and additional or unforeseen circumstances, developments, or events may give rise to or amplify many of the risks discussed below."
Amazon,"Ref2_1 - through the pandemic the same way without the dedication and extraordinary efforts shown by our teams during this period, and I’m eternally grateful."
